timestamp,latitude,longitude,altitude,hydrogen,o3,geiger
2025-08-09 17:13:05.936,,,,,,
2025-08-09 17:13:06.937,,,,,,
2025-08-09 17:13:07.938,51.4223321,-112.641047,688.956,27.0,107,
2025-08-09 17:13:08.940,51.4223321,-112.641047,688.956,28.0,116,
2025-08-09 17:13:09.942,51.4223321,-112.641047,688.956,27.0,120,
2025-08-09 17:13:10.942,51.4223321,-112.641047,688.956,29.0,122,
2025-08-09 17:13:11.944,51.4223321,-112.641047,688.956,25.0,125,
2025-08-09 17:13:12.946,51.4223321,-112.641047,688.956,26.0,126,
2025-08-09 17:13:13.948,51.4223321,-112.641047,688.956,26.0,127,
2025-08-09 17:13:14.949,51.4223321,-112.641047,688.956,28.0,124,
2025-08-09 17:13:15.952,51.4223321,-112.641047,688.956,27.0,123,
2025-08-09 17:13:16.956,51.4223321,-112.641047,688.956,26.0,118,
2025-08-09 17:13:17.958,51.4223321,-112.641047,688.956,22.0,108,
2025-08-09 17:13:18.961,51.4223321,-112.641047,688.956,27.0,108,
2025-08-09 17:13:19.962,51.4223321,-112.641047,688.956,27.0,94,
2025-08-09 17:13:20.964,51.4223321,-112.641047,688.956,28.0,124,
2025-08-09 17:13:21.966,51.4223321,-112.641047,688.956,22.0,77,
2025-08-09 17:13:22.968,51.4223321,-112.641047,688.956,27.0,58,
2025-08-09 17:13:23.970,51.4223321,-112.641047,688.956,27.0,45,
2025-08-09 17:13:24.971,51.4223321,-112.641047,688.956,26.0,41,
2025-08-09 17:13:25.976,51.4223321,-112.641047,688.956,25.0,29,
2025-08-09 17:13:26.976,51.4223321,-112.641047,688.956,25.0,25,
2025-08-09 17:13:27.979,51.4223321,-112.641047,688.956,24.0,22,
2025-08-09 17:13:28.983,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:13:29.983,51.4223321,-112.641047,688.956,25.0,170,
2025-08-09 17:13:30.986,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:13:31.987,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:13:32.989,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:13:33.991,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:34.992,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:13:35.994,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:13:36.995,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:37.997,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:13:38.999,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:13:40.000,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:41.002,51.4223321,-112.641047,688.956,22.0,170,
2025-08-09 17:13:42.004,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:13:43.006,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:13:44.009,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:13:45.011,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:13:46.013,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:13:47.014,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:48.020,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:13:49.022,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:13:50.025,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:13:51.026,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:13:52.027,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:13:53.028,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:13:54.033,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:55.034,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:13:56.035,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:13:57.040,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:13:58.041,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:13:59.043,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:00.044,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:01.046,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:02.048,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:03.049,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:04.051,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:05.052,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:06.055,51.4223321,-112.641047,688.956,28.0,70,
2025-08-09 17:14:07.056,51.4223321,-112.641047,688.956,27.0,21,
2025-08-09 17:14:08.058,51.4223321,-112.641047,688.956,24.0,23,
2025-08-09 17:14:09.060,51.4223321,-112.641047,688.956,28.0,23,
2025-08-09 17:14:10.061,51.4223321,-112.641047,688.956,30.0,25,
2025-08-09 17:14:11.062,51.4223321,-112.641047,688.956,26.0,25,
2025-08-09 17:14:12.064,51.4223321,-112.641047,688.956,27.0,25,
2025-08-09 17:14:13.066,51.4223321,-112.641047,688.956,25.0,25,
2025-08-09 17:14:14.067,51.4223321,-112.641047,688.956,25.0,23,
2025-08-09 17:14:15.069,51.4223321,-112.641047,688.956,24.0,73,
2025-08-09 17:14:16.072,51.4223321,-112.641047,688.956,26.0,21,
2025-08-09 17:14:17.074,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:18.076,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:19.077,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:20.082,51.4223321,-112.641047,688.956,22.0,170,
2025-08-09 17:14:21.083,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:22.087,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:23.088,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:24.090,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:14:25.093,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:14:26.095,51.4223321,-112.641047,688.956,22.0,20,
2025-08-09 17:14:27.095,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:28.097,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:29.099,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:30.100,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:31.100,51.4223321,-112.641047,688.956,28.0,70,
2025-08-09 17:14:32.106,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:33.108,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:34.110,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:35.112,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:36.114,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:37.115,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:38.117,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:39.119,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:40.121,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:41.122,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:42.124,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:43.128,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:44.130,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:14:45.131,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:46.132,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:47.133,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:48.134,51.4223321,-112.641047,688.956,24.0,70,
2025-08-09 17:14:49.136,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:50.138,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:51.138,51.4223321,-112.641047,688.956,26.0,70,
2025-08-09 17:14:52.140,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:53.142,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:54.143,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:14:55.143,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:14:56.145,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:14:57.146,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:14:58.147,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:14:59.149,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:15:00.154,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:15:01.156,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:15:02.157,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:15:03.159,51.4223321,-112.641047,688.956,24.0,20,
2025-08-09 17:15:04.162,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:15:05.163,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:15:06.164,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:15:07.166,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:15:08.167,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:15:09.169,51.4223321,-112.641047,688.956,30.0,20,
2025-08-09 17:15:10.171,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:15:11.172,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:15:12.174,51.4223321,-112.641047,688.956,25.0,20,
2025-08-09 17:15:13.175,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:15:14.177,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:15:15.179,51.4223321,-112.641047,688.956,23.0,20,
2025-08-09 17:15:16.180,51.4223321,-112.641047,688.956,29.0,70,
2025-08-09 17:15:17.181,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:15:18.181,51.4223321,-112.641047,688.956,27.0,20,
2025-08-09 17:15:19.183,51.4223321,-112.641047,688.956,28.0,20,
2025-08-09 17:15:20.185,51.4223321,-112.641047,688.956,29.0,20,
2025-08-09 17:15:21.187,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:15:22.188,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:15:23.190,51.4223321,-112.641047,688.956,26.0,20,
2025-08-09 17:15:24.190,51.4223321,-112.641047,688.956,26.0,70,
2025-08-09 17:15:25.192,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:15:26.194,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:15:27.194,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:15:28.196,51.4223321,-112.641047,688.956,27.0,1024,
2025-08-09 17:15:29.198,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:15:30.198,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:15:31.200,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:15:32.201,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:15:33.203,51.4223321,-112.641047,688.956,26.0,1024,
2025-08-09 17:15:34.205,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:15:35.206,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:15:36.207,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:15:37.210,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:15:38.212,51.4223321,-112.641047,688.956,22.0,1024,
2025-08-09 17:15:39.213,51.4223321,-112.641047,688.956,32.0,0,
2025-08-09 17:15:40.215,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:15:41.217,51.4223321,-112.641047,688.956,25.0,0,
2025-08-09 17:15:42.219,51.4223321,-112.641047,688.956,27.0,1024,
2025-08-09 17:15:43.219,51.4223321,-112.641047,688.956,24.0,51,
2025-08-09 17:15:44.220,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:15:45.221,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:15:46.225,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:15:47.227,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:15:48.228,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:15:49.230,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:15:50.231,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:15:51.233,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:15:52.235,51.4223321,-112.641047,688.956,26.0,1024,
2025-08-09 17:15:53.236,51.4223321,-112.641047,688.956,24.0,1024,
2025-08-09 17:15:54.237,51.4223321,-112.641047,688.956,26.0,1024,
2025-08-09 17:15:55.241,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:15:56.242,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:15:57.244,51.4223321,-112.641047,688.956,24.0,1024,
2025-08-09 17:15:58.246,51.4223321,-112.641047,688.956,33.0,1024,
2025-08-09 17:15:59.251,51.4223321,-112.641047,688.956,23.0,1024,
2025-08-09 17:16:00.253,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:01.254,51.4223321,-112.641047,688.956,27.0,972,
2025-08-09 17:16:02.256,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:16:03.257,51.4223321,-112.641047,688.956,23.0,1024,
2025-08-09 17:16:04.259,51.4223321,-112.641047,688.956,30.0,1024,
2025-08-09 17:16:05.259,51.4223321,-112.641047,688.956,32.0,1024,
2025-08-09 17:16:06.260,51.4223321,-112.641047,688.956,26.0,1024,
2025-08-09 17:16:07.262,51.4223321,-112.641047,688.956,31.0,1024,
2025-08-09 17:16:08.263,51.4223321,-112.641047,688.956,24.0,1024,
2025-08-09 17:16:09.264,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:10.265,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:16:11.267,51.4223321,-112.641047,688.956,26.0,1024,
2025-08-09 17:16:12.269,51.4223321,-112.641047,688.956,30.0,1024,
2025-08-09 17:16:13.270,51.4223321,-112.641047,688.956,31.0,1024,
2025-08-09 17:16:14.271,51.4223321,-112.641047,688.956,32.0,1024,
2025-08-09 17:16:15.273,51.4223321,-112.641047,688.956,32.0,1024,
2025-08-09 17:16:16.275,51.4223321,-112.641047,688.956,32.0,1024,
2025-08-09 17:16:17.277,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:18.278,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:19.280,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:20.280,51.4223321,-112.641047,688.956,31.0,1024,
2025-08-09 17:16:21.282,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:22.283,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:23.284,51.4223321,-112.641047,688.956,30.0,563,
2025-08-09 17:16:24.285,51.4223321,-112.641047,688.956,30.0,1024,
2025-08-09 17:16:25.287,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:26.288,51.4223321,-112.641047,688.956,30.0,1024,
2025-08-09 17:16:27.290,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:28.293,51.4223321,-112.641047,688.956,33.0,1024,
2025-08-09 17:16:29.295,51.4223321,-112.641047,688.956,27.0,1024,
2025-08-09 17:16:30.296,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:16:31.297,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:16:32.298,51.4223321,-112.641047,688.956,25.0,1024,
2025-08-09 17:16:33.300,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:16:34.303,51.4223321,-112.641047,688.956,33.0,1024,
2025-08-09 17:16:35.303,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:16:36.305,51.4223321,-112.641047,688.956,30.0,1024,
2025-08-09 17:16:37.308,51.4223321,-112.641047,688.956,29.0,1024,
2025-08-09 17:16:38.310,51.4223321,-112.641047,688.956,28.0,1024,
2025-08-09 17:16:39.311,51.4223321,-112.641047,688.956,29.0,1369,
2025-08-09 17:16:40.312,51.4223321,-112.641047,688.956,16.0,0,
2025-08-09 17:16:41.313,51.4223321,-112.641047,688.956,23.0,0,
2025-08-09 17:16:42.314,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:16:43.315,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:44.316,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:45.317,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:46.317,51.4223321,-112.641047,688.956,30.0,50,
2025-08-09 17:16:47.319,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:48.320,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:16:49.322,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:16:50.324,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:16:51.326,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:16:52.328,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:16:53.330,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:16:54.331,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:16:55.333,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:16:56.335,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:16:57.339,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:16:58.343,51.4223321,-112.641047,688.956,31.0,153,
2025-08-09 17:16:59.344,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:00.348,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:01.350,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:02.351,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:03.353,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:04.355,51.4223321,-112.641047,688.956,27.0,50,
2025-08-09 17:17:05.356,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:06.357,51.4223321,-112.641047,688.956,32.0,51,
2025-08-09 17:17:07.358,51.4223321,-112.641047,688.956,28.0,51,
2025-08-09 17:17:08.361,51.4223321,-112.641047,688.956,29.0,51,
2025-08-09 17:17:09.363,51.4223321,-112.641047,688.956,28.0,51,
2025-08-09 17:17:10.365,51.4223321,-112.641047,688.956,33.0,51,
2025-08-09 17:17:11.366,51.4223321,-112.641047,688.956,34.0,0,
2025-08-09 17:17:12.369,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:13.370,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:14.372,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:15.374,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:16.376,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:17.378,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:18.380,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:17:19.382,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:20.383,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:17:21.385,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:22.387,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:23.388,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:24.390,51.4223321,-112.641047,688.956,30.0,51,
2025-08-09 17:17:25.391,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:17:26.394,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:17:27.394,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:28.396,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:29.398,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:30.400,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:31.401,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:32.403,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:33.404,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:17:34.405,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:17:35.406,51.4223321,-112.641047,688.956,27.0,51,
2025-08-09 17:17:36.408,51.4223321,-112.641047,688.956,30.0,51,
2025-08-09 17:17:37.409,51.4223321,-112.641047,688.956,27.0,51,
2025-08-09 17:17:38.411,51.4223321,-112.641047,688.956,24.0,51,
2025-08-09 17:17:39.413,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:40.414,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:41.416,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:42.417,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:43.418,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:44.420,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:45.424,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:46.425,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:17:47.427,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:48.427,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:49.429,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:17:50.430,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:17:51.434,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:52.436,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:17:53.438,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:17:54.440,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:17:55.441,51.4223321,-112.641047,688.956,30.0,0,
2025-08-09 17:17:56.443,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:17:57.444,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:17:58.446,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:17:59.448,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:00.450,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:18:01.452,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:18:02.453,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:03.456,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:18:04.457,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:18:05.460,51.4223321,-112.641047,688.956,28.0,0,
2025-08-09 17:18:06.461,51.4223321,-112.641047,688.956,30.0,51,
2025-08-09 17:18:07.463,51.4223321,-112.641047,688.956,0.0,51,
2025-08-09 17:18:08.465,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:09.467,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:10.469,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:11.471,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:12.473,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:13.475,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:18:14.477,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:15.478,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:18:16.480,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:17.482,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:18.483,51.4223321,-112.641047,688.956,24.0,0,
2025-08-09 17:18:19.485,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:20.487,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:21.490,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:22.491,51.4223321,-112.641047,688.956,25.0,0,
2025-08-09 17:18:23.495,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:18:24.500,51.4223321,-112.641047,688.956,31.0,0,
2025-08-09 17:18:25.502,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:26.504,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:27.506,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:28.508,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:29.510,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:30.512,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:31.514,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:32.516,51.4223321,-112.641047,688.956,22.0,0,
2025-08-09 17:18:33.517,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:34.519,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:35.522,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:36.523,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:37.525,51.4223321,-112.641047,688.956,77.0,0,
2025-08-09 17:18:38.526,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:39.528,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:40.530,51.4223321,-112.641047,688.956,25.0,0,
2025-08-09 17:18:41.531,51.4223321,-112.641047,688.956,25.0,0,
2025-08-09 17:18:42.532,51.4223321,-112.641047,688.956,26.0,0,
2025-08-09 17:18:43.534,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:44.536,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:45.538,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:46.540,51.4223321,-112.641047,688.956,20.0,0,
2025-08-09 17:18:47.542,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:48.544,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:49.546,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:50.547,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:51.549,51.4223321,-112.641047,688.956,70.0,0,
2025-08-09 17:18:52.551,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:53.553,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:54.557,51.4223321,-112.641047,688.956,25.0,0,
2025-08-09 17:18:55.558,51.4223321,-112.641047,688.956,256.0,0,
2025-08-09 17:18:56.564,51.4223321,-112.641047,688.956,0.0,0,
2025-08-09 17:18:57.566,51.4223321,-112.641047,688.956,29.0,0,
2025-08-09 17:18:58.568,51.4223321,-112.641047,688.956,27.0,0,
2025-08-09 17:18:59.570,51.4223321,-112.641047,688.956,22.0,0,
2025-08-09 17:19:00.572,51.4223321,-112.641047,688.956,24.0,0,
